a,b,c,d,e,sse,sae,2,4,8,16,32,64,128,250,500,1000
4.335521066363629,70.2277354831405,-4.809510348324146,0.7300356066692419,-0.5788388708123771,49842733998.47992,862187.3211782161,15,22,30,43,25,8,1,0,0,0
-0.3730671815738509,88.41984584407186,-0.8716997401797215,4.673696751020541,-0.539343824218129,50740751125.02589,785020.9843520727,14,28,22,25,4,0,0,0,0,0
3.7330134318612167,19.710452085826486,-0.029164140540166805,0.35508523699575356,0.6136912147416123,53193027940.32531,887259.2771537425,27,29,48,55,49,25,6,0,0,0
-2.6666481737938263,47.466973468020186,-4.938428209775811,-1.0492801541592076,-0.6002616104758518,53859065647.26754,894611.0663106197,22,28,40,40,34,9,0,0,0,0
4.9814173730368,67.28435916880613,1.6405082263566015,-4.043870956269769,-0.5829511093476683,54073273393.47441,833065.5014007248,12,23,31,27,14,2,0,0,0,0
1.190096735469921,63.34260200237911,-0.5396030367437286,1.7652642614311143,0.6188874656692542,55187886355.37349,893628.5837818631,14,23,21,25,16,6,0,0,0,0
-0.8044119466393056,30.26951362859436,0.495505096735811,-2.461372562208717,0.6114604820364704,55694813266.09974,887481.8766097223,17,30,56,50,25,22,1,0,0,0
2.578968157152813,41.725850862177346,2.7427234327408776,-0.7433022541350685,-0.6374787906239243,56009398001.017395,904673.4811125029,17,27,44,48,54,30,3,0,0,0
4.717676412801053,85.85997321675997,3.9945248978879686,-2.4702680136102995,-0.6309411956413129,56493087914.49736,887309.1881149994,18,22,30,12,4,1,0,0,0,0
-3.6084766465137674,45.8235481741731,4.896993588868533,4.980800236527282,0.571931683590833,59323284286.871864,856666.9396996048,20,26,17,29,22,7,2,0,0,0
2.530291840287963,86.55161484350904,3.457843202856864,-3.599249056425966,-0.6330425152492678,60128702305.82594,894195.5972080032,13,22,21,17,5,1,0,0,0,0
0.2528507636091861,9.154804876899407,3.626101381565853,4.478545197584957,0.5958494389087834,60633064531.962265,882507.4944258616,20,32,41,42,31,8,2,0,0,0
2.687215421493371,61.41316888078455,0.388909626435634,-0.37365331551986625,0.6537103374803692,60669327205.881226,949209.75067103,16,29,26,27,19,6,0,0,0,0
-1.452344374643383,14.756465010440472,4.829563908964783,0.24512274152168523,-0.6843525404559614,63258157889.75956,961266.5340549421,16,35,43,63,59,27,6,0,0,0
3.0442115154652,58.87611957429604,1.1946113902798716,-3.8433870908810874,0.6312243866487481,63348601999.12343,921264.1200180607,8,26,36,26,10,5,0,0,0,0
2.861365350896711,86.99363682373021,4.856193998275522,0.6085788829214334,-0.6921822794377555,64727675904.56842,970491.205144693,26,20,23,19,8,2,0,0,0,0
-2.4434145631478876,89.74739791833463,2.7152204971902876,3.2436879662460854,0.6488394559755859,65593175390.22752,956684.4375526295,24,13,17,8,1,0,0,0,0,0
-1.7572897192524994,82.0600841229975,4.555077170300244,-3.935121151185607,-0.6609950035880487,65680304654.552864,929106.0013478252,21,24,20,13,4,0,0,0,0,0
2.146723629383768,47.38745444341597,3.9748067753252556,1.7866787579066976,0.6660322830519103,66354411426.94097,987027.0482505308,12,28,39,26,14,7,0,0,0,0
-4.07981709745827,66.54512362127457,4.692345057736125,-1.2451477707462875,-0.69903225611053,66712811812.3844,981974.4263732125,13,25,36,36,20,3,0,0,0,0
-4.266082654012835,15.413414011878128,1.2392507246026332,2.096139627123012,0.6855767893012734,68922498795.43681,998262.3211680944,19,21,34,44,33,9,1,0,0,0
0.8835339722252975,69.94665253103062,-4.97078000722904,-1.6528420578766068,0.7115771024298674,69721121281.5823,1002431.6921214425,15,17,42,20,20,6,0,0,0,0
-3.7246068084950847,75.77628398521755,1.0643766687342362,-2.93218009101503,-0.6895157931559357,70083771740.83696,988970.6132784939,12,22,27,19,11,2,0,0,0,0
-2.3092057674715347,17.545193635826656,-1.400328092414953,-1.7489892520320236,-0.7051940605690286,72348613455.29166,1027001.6442837315,15,20,44,38,20,5,3,0,0,0
3.4781728164305274,27.126851646738032,2.1054024429947766,-3.780984817435993,0.7000972778297161,76647037832.25433,1024726.0114238348,15,23,34,48,27,7,0,0,0,0
-4.452774902718225,82.98902364673282,-2.266028486340712,0.6573939707812215,-0.7309693120898553,76839787051.77982,1067111.6550770523,19,16,17,21,12,0,0,0,0,0
1.6239118298873905,0.8064729874984238,-0.9148219738343242,2.995838332694717,-0.7173113653481957,77055704918.56757,1042347.5434889646,16,34,33,44,32,9,2,0,0,0
-3.931899096008954,85.69675866663512,4.019350154292699,2.99301299159465,0.7157351116754,78772022794.09055,1060690.4974190015,18,19,15,6,0,0,0,0,0,0
-1.0615223811857453,92.12133685043887,2.908740339094842,-1.7478411646191994,0.7351381588839159,79628313629.44724,1082622.8498132804,16,19,12,6,1,0,0,0,0,0
3.6195613790053294,20.380499570397596,0.39460937097129367,1.788093831717493,0.7437690693943653,79713997100.82687,1077724.8948776582,18,31,40,38,21,3,0,0,0,0
1.620812742075505,5.593864753120863,-0.7303200158927838,-1.3815757995731435,0.7544113499562872,80640779946.48172,1086077.6528940662,25,24,41,55,36,7,1,0,0,0
3.191033259865014,79.72913579051061,-1.187699994051239,2.033423726807878,0.757787256325523,82185857100.65125,1091336.6673610376,13,23,14,10,5,0,0,0,0,0
0.383525087079998,23.914434355796637,-2.2404537687452675,-3.889871401585838,0.7390106240080563,82229198007.67375,1056346.0628318926,15,19,27,29,18,4,0,0,0,0
0.09398080108627127,78.66102138164169,-1.7726880689792601,-3.803012292259317,-0.7328170272003334,83031831443.21289,1067625.7552234817,10,14,20,10,3,0,0,0,0,0
4.40388561889047,-0.5091892892649064,-0.32371325514387905,-0.09111967726975934,0.7717245628165905,83788099305.61594,1113208.5485961966,8,31,47,38,26,15,0,0,0,0
