a,b,sse,sae,2,4,8,16,32,64,128,250,500,1000
11.026944360250184,31.523310202840207,438147.67750711396,3642.771516157777,21,38,57,75,89,87,35,2,0,0
-2.578305506602092,94.16779863624615,445425.6432438417,3562.126569973232,18,22,40,46,32,6,3,0,0,0
11.27591580684404,19.49621894174429,446592.8430431929,3699.8214640860415,28,38,61,80,88,87,35,4,0,0
-5.871766304990359,-25.021508397461915,449752.3282944163,3654.9000975733006,24,31,44,63,93,60,27,2,0,0
11.413304416359708,15.44157733066342,457727.0055101071,3750.0294322017417,18,23,49,89,79,60,27,2,0,0
11.304340448467116,29.4767737954231,462135.426472457,3747.3808146425013,13,35,51,77,84,62,27,0,0,0
10.090053945679571,-50.3454502367384,475072.3754922403,3652.9613897784398,16,34,37,59,70,32,12,0,0,0
-5.687682035205327,63.20406915031984,505260.23261980107,3799.596708261772,11,23,33,65,56,26,8,0,0,0
-3.371245009064225,95.6488864777574,505695.72371133626,3745.779159758452,18,27,44,35,34,6,1,0,0,0
-2.510362795866712,-87.05560190239514,522389.26581730635,3946.582986028079,18,34,33,40,11,3,2,0,0,0
12.171631995363214,11.456403087726642,537169.662265735,4064.5418411402784,16,29,58,84,88,44,12,2,0,0
-7.135073932353819,22.61563058964296,540471.6904247428,4068.307795492826,23,30,29,73,90,43,15,0,0,0
11.700984005108637,52.365138287757674,563039.4762087711,4070.6798466332734,18,37,43,65,88,50,13,2,0,0
6.350473198742009,-99.36550274681184,566568.4353316239,4442.985612619284,17,27,29,26,11,4,0,0,0,0
12.43246592277572,17.214767274103806,569040.0456788345,4179.850454839907,20,31,42,57,60,37,16,0,0,0
9.76339126360692,-77.32109933095862,608328.9539788193,4077.241968530841,13,30,27,31,19,9,0,0,0,0
12.348832562951984,47.77456716404279,618419.2957856971,4289.7456558327085,23,32,56,79,67,48,11,1,0,0
-5.77553883493276,-65.41482867373568,620141.5126568755,4144.939602010108,16,31,32,38,33,14,3,0,0,0
-6.916934857974198,-44.743511951112744,627438.4887153667,4263.783226072178,14,26,47,60,65,36,7,0,0,0
11.99293642785861,69.29401855894497,666315.0488475573,4372.152210996839,21,36,39,48,36,22,3,0,0,0
11.521486422261958,81.18549763259324,680803.2159199766,4366.630734701246,17,19,45,44,35,18,4,0,0,0
13.350395423979649,21.158547797686353,681837.4457840576,4571.940930616553,18,40,44,65,54,26,5,0,0,0
-7.10600481857368,-57.849887857928636,712885.5937887279,4500.1183635739235,18,32,47,40,35,22,1,0,0,0
-8.543182383919529,-11.72750605363926,717618.5847196407,4678.232754639281,15,30,45,50,52,21,5,0,0,0
-8.11763402314034,50.986901900533496,719372.9310906598,4625.9029947449935,18,21,43,58,46,21,5,0,0,0
-7.966272700338806,-38.72080680909515,722144.3322282514,4615.996341417379,15,19,39,43,40,16,4,0,0,0
-7.862340378265543,-45.54847458459359,738347.2624400347,4641.345967954092,20,20,39,40,26,12,1,0,0,0
-8.454823335430262,57.84805887861663,786678.2528467582,4821.561864079655,16,26,44,57,51,21,2,0,0,0
-7.176606702078956,-69.08076593782195,787435.6034978835,4694.83215326645,14,21,29,31,23,7,0,0,0,0
-6.003942094377848,-86.90548441062815,792212.0983111379,4654.961464625268,15,17,27,27,13,2,0,0,0,0
11.64677452302638,-79.48869789971123,801268.6350604256,4699.72085269322,10,31,33,33,15,2,0,0,0,0
-8.978251310354437,53.70315608528105,838179.711767955,4996.048627221578,14,25,34,46,39,24,0,0,0,0
13.13657365613669,80.93490670689275,861564.5159976006,4955.778629209274,12,19,33,39,19,9,0,0,0,0
-5.808548500119542,-97.72217342774326,863218.0690933277,4861.51113972514,17,15,19,24,6,2,0,0,0,0
10.855582562696966,-98.62034059488569,875610.1082822691,4896.382311424142,24,22,15,22,5,0,0,0,0,0
14.65545869654585,36.108794149366105,878245.0664780413,5167.903871116812,19,26,44,54,30,13,0,0,0,0
-9.277643464130023,55.710817992238304,885669.8843789296,5132.254259310718,15,22,38,44,32,24,0,0,0,0
14.8593822025924,28.452614431801635,892324.4177243353,5224.579603979028,22,27,40,53,35,14,0,0,0,0
15.289227144044105,30.2818974490433,957428.9451271143,5409.742638557565,15,21,34,60,34,11,1,0,0,0
-10.032271516228874,-28.43138962497153,958957.4066057177,5375.517355843611,20,23,29,38,34,10,1,0,0,0
-10.456786351760059,-14.390642683221415,986053.5228944935,5486.108623085369,22,24,47,44,32,6,2,0,0,0
12.199350218827348,-97.49537217190219,1004996.0814465663,5243.201383446425,19,27,27,21,3,2,0,0,0,0
15.00969345007141,60.129120094515116,1005448.2132199332,5464.039460879199,9,20,50,26,27,7,0,0,0,0
13.366049581564909,-81.12851023118176,1010776.8149579961,5313.569928314679,15,26,15,27,12,0,0,0,0,0
15.957474291601216,8.865177442751332,1039535.4913962774,5652.274025029759,12,23,47,57,35,10,0,0,0,0
15.553334903941447,50.3053620462982,1047987.4794217844,5614.898175132196,22,21,43,48,19,9,2,0,0,0
12.574333457408812,-99.84660825484835,1068316.1463394836,5408.822145148547,24,14,24,21,8,2,0,0,0,0
-10.654249963469283,-33.931084670677805,1068783.0359332548,5667.451577790211,11,27,46,38,23,3,0,0,0,0
13.864755921067172,98.81561239892682,1072105.6802691403,5484.005341252354,15,22,27,19,5,3,0,0,0,0
-11.09428049798926,-10.525625876755385,1076408.8660620237,5740.986125789776,23,28,52,46,31,11,1,0,0,0
-9.6663508894014,84.89749362292639,1085812.9504215075,5585.548053291774,15,24,23,39,17,3,1,0,0,0
-10.486257437020512,-47.050557141207385,1096818.4071355052,5698.957989079071,24,26,35,45,15,7,0,0,0,0
-10.701834972498474,-43.863905167558045,1114993.9749719682,5756.509135507413,15,25,27,29,15,4,1,0,0,0
-11.541963064281617,7.752269943955412,1131858.2412922499,5898.872217054324,23,27,38,34,27,10,0,0,0,0
-11.440296627552812,32.15095899989535,1137439.5771754882,5896.4968673167605,21,29,30,40,35,14,1,0,0,0
-10.975294567822957,-41.16632436401648,1145472.719686322,5849.084454219881,25,28,38,28,25,3,0,0,0,0
16.32010111327753,46.88172933285165,1155148.4601513182,5910.930507561156,17,21,30,35,28,4,0,0,0,0
16.455996206611047,-32.27025218915213,1187811.407228732,5984.133690482734,13,31,44,33,27,2,1,0,0,0
-9.790068760402932,-80.71239298042127,1196983.687002595,5819.270923492987,16,19,30,18,10,0,0,0,0,0
17.052371433143065,10.901734817391585,1215716.772651572,6113.897736737478,26,31,41,31,28,8,1,0,0,0
-11.35185037112305,-46.72453154907754,1228669.5350317848,6042.260932390918,13,23,34,27,11,2,0,0,0,0
-11.614111697731872,-40.45674334527969,1243739.5233072918,6104.754776091561,26,26,31,26,18,1,1,0,0,0
15.535281083487249,90.34631931275007,1246638.6640874953,5984.83840062393,24,25,29,17,11,1,0,0,0,0
15.584372087008603,89.47967483223474,1248248.6518159956,5992.128421708304,21,28,17,35,6,0,0,0,0,0
-11.256383921357568,72.32132184527237,1250619.8677263812,6072.4454651504775,15,31,39,41,17,4,0,0,0,0
17.25061989001088,-8.780739346924733,1261876.0605418698,6219.101332065322,15,36,36,37,29,6,0,0,0,0
15.08621550257115,-86.47669907364998,1283037.3933929254,6013.532929040649,20,15,23,13,7,0,1,0,0,0
15.798867973920252,90.43660147945991,1287084.487567252,6085.6479133748335,20,19,25,17,8,1,0,0,0,0
17.589651632247595,-5.152223516239701,1315195.8484846787,6351.805909060229,20,29,45,44,18,3,0,0,0,0
-12.505416104033102,36.4092515957949,1323234.771487415,6354.491686273221,21,26,38,41,16,9,0,0,0,0
-12.602943048193893,33.572439922891505,1334043.618189841,6386.747513913721,22,31,42,37,28,4,1,0,0,0
17.42143091047768,-30.343491675417738,1341470.1602145114,6374.1898553148485,16,20,33,29,17,7,0,0,0,0
17.49968396823725,-26.294995222445024,1342520.784101592,6386.344138962446,21,22,43,52,28,9,0,0,0,0
17.62719772236916,-34.08432164683384,1389602.9263901564,6478.081465295002,7,31,41,33,21,1,0,0,0,0
17.593594304529276,58.03835792285602,1406262.4034891604,6501.454981707937,18,24,34,27,14,3,0,0,0,0
-12.243977305920396,-55.65623965702831,1419186.7378076955,6479.497079281412,12,16,27,17,10,0,0,0,0,0
